facultad,extension,matriculas_ordinarias,matriculas_extraordinarias,retiros,publicacion_articulos_cientificos_docentes,publicacion_libros_cientificos_docentes,publicacion_revistas_cientificas_docentes,publicacion_articulo_cientifico_estudiante,publicacion_revista_cientifica_estudiante,periodo_academico
Ciencias_Informaticas,Matriz,192,7,20,6,63,32,85,117,13/09/2019
Ciencias_Informaticas,Matriz,169,14,53,14,88,14,34,57,03/09/2021
Ciencias_Informaticas,Matriz,169,2,53,14,75,32,42,157,03/09/2021
Ciencias_Informaticas,Matriz,169,2,53,14,80,32,36,57,11/02/2018
Ciencias_Informaticas,Matriz,169,2,53,14,81,32,36,50,11/02/2018
Ciencias_Informaticas,Matriz,169,2,53,16,87,32,34,32,11/02/2018
Ciencias_Informaticas,Matriz,169,6,53,19,90,32,25,32,16/02/2020
Ciencias_Informaticas,Matriz,169,6,53,18,91,32,28,32,11/02/2018
Ciencias_Informaticas,Matriz,171,5,53,19,87,32,28,95,11/06/2020
Ciencias_Informaticas,Matriz,72,6,53,16,92,32,34,32,18/06/2020
Ciencias_Informaticas,Matriz,171,5,53,19,87,32,45,95,25/06/2020
Ciencias_Informaticas,Matriz,171,4,55,22,89,32,65,32,01/07/2020
Ciencias_Informaticas,Matriz,171,4,53,31,32,32,57,32,08/07/2020
Ciencias_Informaticas,Matriz,171,4,53,31,86,32,57,32,15/07/2020
Ciencias_Informaticas,Matriz,171,4,53,30,32,32,62,32,07/09/2019
Ciencias_Informaticas,Matriz,171,2,56,30,73,32,80,32,30/07/2020
Ciencias_Informaticas,Matriz,171,3,53,48,53,32,89,32,06/08/2020
Ciencias_Informaticas,Matriz,171,3,54,39,171,32,94,32,13/08/2020
Ciencias_Informaticas,Matriz,171,2,55,36,57,32,32,32,20/08/2020
Ciencias_Informaticas,Matriz,171,2,54,44,169,32,91,32,27/08/2021
Ciencias_Informaticas,Matriz,171,3,51,3,57,32,92,32,03/09/2020
Ciencias_Informaticas,Matriz,171,2,51,38,63,32,61,32,10/09/2020
Ciencias_Informaticas,Matriz,171,3,80,39,51,32,55,32,17/09/2020
Ciencias_Informaticas,Matriz,171,3,84,37,51,32,67,32,24/09/2020
Ciencias_Informaticas,Matriz,171,2,82,36,64,32,60,32,30/09/2020
Ciencias_Informaticas,Matriz,171,3,82,30,59,32,46,97,08/10/2020
